Input_Size,Edges,M,R,Program,Time_ms
tiny,100,1,1,findsp,118
tiny,100,1,1,findst,128
tiny,100,1,2,findsp,24
tiny,100,1,2,findst,22
tiny,100,1,4,findsp,24
tiny,100,1,4,findst,23
tiny,100,1,8,findsp,23
tiny,100,1,8,findst,21
tiny,100,2,1,findsp,21
tiny,100,2,1,findst,19
tiny,100,2,2,findsp,20
tiny,100,2,2,findst,21
tiny,100,2,4,findsp,22
tiny,100,2,4,findst,28
tiny,100,2,8,findsp,25
tiny,100,2,8,findst,21
tiny,100,4,1,findsp,21
tiny,100,4,1,findst,19
tiny,100,4,2,findsp,22
tiny,100,4,2,findst,22
tiny,100,4,4,findsp,52
tiny,100,4,4,findst,27
tiny,100,4,8,findsp,25
tiny,100,4,8,findst,24
tiny,100,8,1,findsp,24
tiny,100,8,1,findst,23
tiny,100,8,2,findsp,24
tiny,100,8,2,findst,21
tiny,100,8,4,findsp,26
tiny,100,8,4,findst,21
tiny,100,8,8,findsp,325
tiny,100,8,8,findst,32
tiny,100,16,1,findsp,29
tiny,100,16,1,findst,31
tiny,100,16,2,findsp,48
tiny,100,16,2,findst,33
tiny,100,16,4,findsp,51
tiny,100,16,4,findst,56
tiny,100,16,8,findsp,75
tiny,100,16,8,findst,78
small,1000,1,1,findsp,36
small,1000,1,1,findst,45
small,1000,1,2,findsp,29
small,1000,1,2,findst,51
small,1000,1,4,findsp,37
small,1000,1,4,findst,26
small,1000,1,8,findsp,34
small,1000,1,8,findst,36
small,1000,2,1,findsp,41
small,1000,2,1,findst,29
small,1000,2,2,findsp,34
small,1000,2,2,findst,32
small,1000,2,4,findsp,47
small,1000,2,4,findst,25
small,1000,2,8,findsp,45
small,1000,2,8,findst,27
small,1000,4,1,findsp,26
small,1000,4,1,findst,30
small,1000,4,2,findsp,35
small,1000,4,2,findst,23
small,1000,4,4,findsp,29
small,1000,4,4,findst,29
small,1000,4,8,findsp,27
small,1000,4,8,findst,32
small,1000,8,1,findsp,39
small,1000,8,1,findst,26
small,1000,8,2,findsp,26
small,1000,8,2,findst,22
small,1000,8,4,findsp,27
small,1000,8,4,findst,27
small,1000,8,8,findsp,50
small,1000,8,8,findst,25
small,1000,16,1,findsp,31
small,1000,16,1,findst,26
small,1000,16,2,findsp,31
small,1000,16,2,findst,28
small,1000,16,4,findsp,33
small,1000,16,4,findst,48
small,1000,16,8,findsp,48
small,1000,16,8,findst,37
medium,10000,1,1,findsp,38
medium,10000,1,1,findst,34
medium,10000,1,2,findsp,35
medium,10000,1,2,findst,39
medium,10000,1,4,findsp,40
medium,10000,1,4,findst,40
medium,10000,1,8,findsp,48
medium,10000,1,8,findst,46
medium,10000,2,1,findsp,31
medium,10000,2,1,findst,26
medium,10000,2,2,findsp,34
medium,10000,2,2,findst,34
medium,10000,2,4,findsp,59
medium,10000,2,4,findst,44
medium,10000,2,8,findsp,41
medium,10000,2,8,findst,51
medium,10000,4,1,findsp,35
medium,10000,4,1,findst,28
medium,10000,4,2,findsp,36
medium,10000,4,2,findst,36
medium,10000,4,4,findsp,41
medium,10000,4,4,findst,48
medium,10000,4,8,findsp,51
medium,10000,4,8,findst,51
medium,10000,8,1,findsp,38
medium,10000,8,1,findst,35
medium,10000,8,2,findsp,55
medium,10000,8,2,findst,36
medium,10000,8,4,findsp,63
medium,10000,8,4,findst,39
medium,10000,8,8,findsp,48
medium,10000,8,8,findst,49
medium,10000,16,1,findsp,45
medium,10000,16,1,findst,40
medium,10000,16,2,findsp,50
medium,10000,16,2,findst,50
medium,10000,16,4,findsp,51
medium,10000,16,4,findst,55
medium,10000,16,8,findsp,74
medium,10000,16,8,findst,68
large,100000,1,1,findsp,188
large,100000,1,1,findst,159
large,100000,1,2,findsp,338
large,100000,1,2,findst,370
large,100000,1,4,findsp,420
large,100000,1,4,findst,423
large,100000,1,8,findsp,482
large,100000,1,8,findst,493
large,100000,2,1,findsp,136
large,100000,2,1,findst,181
large,100000,2,2,findsp,354
large,100000,2,2,findst,329
large,100000,2,4,findsp,500
large,100000,2,4,findst,657
large,100000,2,8,findsp,531
